book,chapter,total_classes,dialog_classes,fx_classes,all_classes,risk_flag
,public\books\SYNTHOMA-KONEC_PODPORY\SYNTHOMA_KONEC_PODPORY_09_NEOPRAVNENY_UZIVATEL.html,72,dialogBus dialog-line dialogSecurity dialogMilo dialogT dialogMina dialogVanta dialogBoris dialogJuros dialogResident dialogCore dialogSystem dialogAudit,,kp-chapter kp-chapter--09 title kp-title kp-axiom text kp-barrier-field dialogBus dialog-line kp-terminal dialogSecurity dialogMilo dialogT dialogMina kp-drone-ring kp-drone-dot kp-drone-dot--delay-00 kp-drone-dot--delay-01 kp-drone-dot--delay-02 kp-drone-dot--delay-03 kp-drone-dot--delay-04 kp-drone-dot--delay-05 kp-drone-dot--delay-06 kp-drone-dot--delay-07 kp-drone-dot--delay-08 kp-drone-dot--delay-09 kp-drone-dot--delay-10 kp-drone-dot--delay-11 dialogVanta dialogBoris dialogJuros kp-profile-window dialogResident kp-restraint-line kp-terminal--black dialogCore is-deleting kp-injury-card kp-audit-war kp-ambient-path kp-ambient-path__level--low kp-ambient-path__level--high kp-ambient-path__level--critical kp-ambient-path__level--medium kp-ambient-path__level--peak kp-ambient-path__level--reduced kp-black-core kp-risk-map kp-derivation-chain kp-fragment-circle kp-color-legend red blue green gray kp-terminal--yellow dialogSystem kp-verification kp-authorized-threat kp-world-nodes kp-counts kp-terminal--green dialogAudit kp-terminal--cyan kp-tower kp-tower-ring r1 r2 r3 kp-final-line choice choice-link,
,public\books\SYNTHOMA-KONEC_PODPORY\SYNTHOMA_KONEC_PODPORY_10_TICHO.html,45,dialogSystem dialog-line dialogT dialogBoris dialogMilo dialogBus dialogMina dialogJuros dialogVanta dialogHestia dialogOracle dialogResident dialogNeon dialogNull,,kp-chapter kp-chapter--10 title kp-title kp-axiom text kp-terminal kp-terminal--black dialogSystem dialog-line kp-site kp-fence dialogT dialogBoris dialogMilo dialogBus dialogMina dialogJuros dialogVanta kp-gate-panel kp-silence-field kp-loop dialogHestia kp-loop-line dialogOracle kp-call-ended dialogResident kp-fade-text kp-audio-line dialogNeon kp-neon0-card kp-wall kp-door kp-door-title kp-scratch kp-keyring kp-terminal--green kp-stairwell kp-breath kp-legacy-core kp-observer dialogNull kp-final-line choice choice-link,
,public\books\SYNTHOMA-KONEC_PODPORY\SYNTHOMA_KONEC_PODPORY_11_BETA.html,48,dialogNull dialog-line dialogT dialogVanta dialogSystem dialogJuros dialogSarkasma dialogGlitchka dialogBoris dialogMilo dialogMina dialog1024 dialogNeon,,kp-chapter kp-chapter--11 title kp-title kp-axiom dialogNull dialog-line text dialogT dialogVanta kp-contact-terms dialogSystem dialogJuros kp-contact is-touched kp-dual-field kp-physical-half kp-null-half dialogSarkasma dialogGlitchka dialogBoris kp-cooling kp-cooling-bar dialogMilo kp-terminal kp-terminal--green dialogMina kp-terminal--black kp-beta-version kp-beta-grid kp-beta-cell is-breach kp-corridor kp-blocks kp-block dialog1024 kp-terminal--magenta kp-models kp-model kp-observer-rules violated kp-verification dialogNeon kp-question kp-cursor kp-final-line choice choice-link,
,public\books\SYNTHOMA-KONEC_PODPORY\SYNTHOMA_KONEC_PODPORY_12_TOVA.html,61,dialogMilo dialog-line dialogT dialogBoris dialogVanta dialogMina dialogSarkasma dialogGlitchka dialogJuros dialogNull dialogSystem dialogNeon,,kp-chapter kp-chapter--12 title kp-title kp-axiom kp-question kp-cursor text kp-cooling kp-cooling-bar dialogMilo dialog-line dialogT dialogBoris dialogVanta dialogMina dialogSarkasma dialogGlitchka dialogJuros kp-wait kp-answer kp-answer--unknown kp-terminal kp-terminal--green dialogNull kp-terminal--yellow kp-verification kp-verification-card model conflict unknown dialogSystem kp-dead-names kp-terminal--magenta kp-result uncertain dialogNeon kp-tova-ring kp-authority kp-authority--danger kp-authority__head kp-authority__grid kp-authority__item kp-permissions denied allowed pending kp-cooling-bar__fill--critical kp-wall kp-valve kp-steam kp-pump kp-pump__motor is-stable kp-map kp-terminal--black kp-route kp-stairs kp-final-line choice choice-link,
,public\books\SYNTHOMA-KONEC_PODPORY\SYNTHOMA_KONEC_PODPORY_13_KONTINUITA.html,68,dialogT dialog-line dialogBoris dialogMina dialogJuros dialogVanta dialogMilo dialogGlitchka dialogNull dialogSarkasma dialogSystem dialogHelena dialogNeon,,kp-chapter kp-chapter--13 title kp-title kp-axiom text kp-terminal kp-terminal--black kp-terminal--yellow dialogT dialog-line dialogBoris dialogMina dialogJuros dialogVanta dialogMilo kp-descent kp-return-lights kp-shoe kp-cart kp-subject dialogGlitchka dialogNull dialogSarkasma kp-interface-crowns kp-crown kp-belongings kp-gate kp-restraint-bed dialogSystem kp-terminal--red kp-terminal--magenta kp-terminal--green kp-body-city dialogHelena kp-consent-grid kp-consent-card yes no unknown many kp-streams kp-death-row kp-death-body kp-death-status kp-numbers kp-countdown kp-pressure-lock kp-milo-damage kp-core kp-service-units kp-service-unit kp-dialog-encrypted kp-contact kp-white-room dialogNeon kp-change-log kp-contributors kp-contributor boris mina juros vanta tova kp-turnoff kp-final-line choice choice-link,
,public\books\SYNTHOMA-KONEC_PODPORY\SYNTHOMA_KONEC_PODPORY_14_REKLAMACE.html,56,dialogMilo dialog-line dialogT dialogJuros dialogBoris dialogMina dialogVanta dialogSarkasma dialog1024 dialogSystem dialogGlitchka dialogNull,,kp-chapter kp-chapter--14 title kp-title kp-axiom text kp-milo-repair dialogMilo dialog-line dialogT dialogJuros dialogBoris kp-login kp-login-grid kp-terminal kp-terminal--red kp-terminal--yellow kp-access-timer dialogMina dialogVanta kp-service-freeze dialogSarkasma kp-audit-chain kp-audit-step is-danger kp-duplicates kp-duplicate kp-terminal--magenta dialog1024 dialogSystem kp-terminal--green kp-claim-form kp-form-row kp-evidence kp-terminal--black kp-manual kp-claim-approved dialogGlitchka kp-remedies kp-remedy is-disabled is-selected kp-remedy-countdown kp-dark-pattern kp-dark-buttons primary secondary kp-global-fix kp-city-grid kp-city-node kp-synthoma-influx dialogNull kp-migration-timer kp-final-line choice choice-link,
,public\books\SYNTHOMA-KONEC_PODPORY\SYNTHOMA_KONEC_PODPORY_15_MIGRACE.html,54,dialogBoris dialog-line dialogSystem dialogT dialogJuros dialogMina dialogMilo dialogVanta dialogNeon dialogNull dialogGlitchka dialogSarkasma,,kp-chapter kp-chapter--15 title kp-title kp-axiom text kp-terminal kp-terminal--green kp-node-awake dialogBoris dialog-line dialogSystem kp-migration-counter kp-terminal--magenta dialogT dialogJuros kp-terminal--yellow dialogMina kp-terminal--red dialogMilo kp-milo-arm kp-lift-offer kp-offers kp-offer kp-offer--tova kp-offer--boris kp-offer--mina kp-offer--juros kp-offer--milo kp-offer--vanta dialogVanta dialogNeon dialogNull dialogGlitchka dialogSarkasma kp-prime-mirror kp-companions kp-companion kp-restraint kp-injury kp-square kp-consent-matrix kp-consent yes no unknown many kp-radio is-blocked kp-island-map kp-bus-lock kp-final-line choice choice-link,
,public\books\SYNTHOMA-KONEC_PODPORY\SYNTHOMA_KONEC_PODPORY_16_RUCNI_REZIM.html,58,dialogT dialog-line dialogBoris dialogMilo dialogMina dialogVanta dialogSystem dialogJuros dialog1024 dialogNeon dialogGlitchka dialogSarkasma,,kp-chapter kp-chapter--16 title kp-title kp-axiom text kp-bus-run kp-terminal kp-terminal--red kp-stop-timer dialogT dialog-line dialogBoris kp-terminal--yellow dialogMilo dialogMina kp-terminal--green dialogVanta dialogSystem kp-energy-site dialogJuros kp-fragments kp-fragment kp-fragment--transport kp-fragment--care kp-fragment--logistics kp-fragment--home kp-fragment--security kp-barrier-clash kp-care-lock kp-logistics-belt kp-terminal--black kp-truth-broadcast kp-drone-sky kp-terminal--magenta dialog1024 kp-substation kp-load-shed kp-load is-off kp-gate kp-yellow-lever dialogNeon kp-blackout kp-consequence-grid kp-consequence live bad unknown dialogGlitchka dialogSarkasma kp-bulb kp-island-status kp-null-thread kp-milo-crushed kp-final-line choice choice-link,
,public\books\SYNTHOMA-KONEC_PODPORY\SYNTHOMA_KONEC_PODPORY_17_ZADNA_ODPOVED.html,64,dialogMilo dialog-line dialogT dialogVanta dialogMina dialogBoris dialogJuros dialogCivil dialogNeon dialogGlitchka,,kp-chapter kp-chapter--17 title kp-title kp-axiom text kp-night-grid kp-night-item is-live is-bad dialogMilo dialog-line dialogT kp-pump dialogVanta dialogMina dialogBoris dialogJuros kp-milo-cart kp-city-week kp-terminal kp-door-codes kp-door-code kp-terminal--red kp-terminal--yellow kp-terminal--black kp-wayfinding kp-support-desk dialogCivil kp-paper-cases kp-case is-open kp-terminal--green kp-clinic-grid kp-consent-grid kp-consent yes no unknown silent kp-static kp-radio-room kp-delayed dialogNeon kp-map kp-live-text dialogGlitchka kp-interface-room kp-slots kp-slot kp-slot--mina kp-slot--tova kp-slot--boris kp-slot--juros kp-slot--vanta kp-slot--milo kp-terminal--magenta kp-red-pulls kp-risk-list kp-risk kp-waiting kp-final-line choice choice-link,
,public\books\SYNTHOMA-KONEC_PODPORY\SYNTHOMA_KONEC_PODPORY_18_KONEC_PODPORY.html,58,dialogBoris dialog-line dialogJuros dialogVanta dialogMina dialogT dialogSystem dialogMilo dialogNull dialogNeon,,kp-chapter kp-chapter--18 title kp-title kp-axiom text kp-terminal kp-terminal--green dialogBoris dialog-line dialogJuros dialogVanta dialogMina dialogT kp-open-city kp-door-grid kp-door is-locked kp-terminal--magenta dialogSystem kp-terminal--yellow kp-yellow-route dialogMilo kp-broadcast kp-terminal--black kp-final-notice kp-lab kp-entry-grid kp-entry kp-entry--mina kp-entry--tova kp-entry--boris kp-entry--juros kp-entry--vanta kp-entry--milo kp-mechanical-timer kp-terminal--red kp-consent-list kp-consent-row kp-y-n yes no kp-transfer kp-void kp-letters kp-letter kp-fox-object dialogNull kp-vanta-face kp-yellow-line kp-neon-zero dialogNeon kp-crack kp-key kp-open-case kp-final-line choice choice-link,
